co2_1(45-60) co2_2(45-60) t1(45-60) h1(45-60) t2(45-60) h2(45-60) t3(45-60) h3(45-60) co2_1(30-45) co2_2(30-45) t1(30-45) h1(30-45) t2(30-45) h2(30-45) t3(30-45) h3(30-45) co2_1(15-30) co2_2(15-30) t1(15-30) h1(15-30) t2(15-30) h2(15-30) t3(15-30) h3(15-30) co2_1(0-15) co2_2(0-15) t1(0-15) h1(0-15) t2(0-15) h2(0-15) t3(0-15) h3(0-15) sco2_1(0-60) sco2_2(0-60) st1(0-60) sh1(0-60) st2(0-60) sh2(0-60) st3(0-60) sh3(0-60) sco2_1(0-45) sco2_2(0-45) st1(0-45) sh1(0-45) st2(0-45) sh2(0-45) st3(0-45) sh3(0-45) sco2_1(0-30) sco2_2(0-30) st1(0-30) sh1(0-30) st2(0-30) sh2(0-30) st3(0-30) sh3(0-30) sco2_1(0-15) sco2_2(0-15) st1(0-15) sh1(0-15) st2(0-15) sh2(0-15) st3(0-15) sh3(0-15) label
-19 -19 0.0 1.0 0.0 2.0 0.0 0.0 -23 -31 0.0 1.0 0.1 1.0 0.0 0.0 -13 4 0.0 1.0 0.0 0.0 0.0 0.0 8 -11 0.0 0.0 0.1 3.0 0.0 0.0 -47 -57 0.0 1.0 0.2 4.0 0.0 0.0 -28 -38 0.0 0.0 0.2 2.0 0.0 0.0 -5 -7 0.0 1.0 0.1 3.0 0.0 0.0 8 -11 0.0 0.0 0.1 3.0 0.0 0.0 1
-23 -31 0.0 1.0 0.1 1.0 0.0 0.0 -13 4 0.0 1.0 0.0 0.0 0.0 0.0 8 -11 0.0 0.0 0.1 3.0 0.0 0.0 -14 -38 0.0 1.0 0.0 2.0 0.0 0.0 -42 -76 0.0 1.0 0.2 0.0 0.0 0.0 -19 -45 0.0 0.0 0.1 1.0 0.0 0.0 -6 -49 0.0 1.0 0.1 1.0 0.0 0.0 -14 -38 0.0 1.0 0.0 2.0 0.0 0.0 1
-13 4 0.0 1.0 0.0 0.0 0.0 0.0 8 -11 0.0 0.0 0.1 3.0 0.0 0.0 -14 -38 0.0 1.0 0.0 2.0 0.0 0.0 -7 4 0.1 0.0 0.0 2.0 0.0 1.0 -26 -41 0.1 0.0 0.1 1.0 0.0 1.0 -13 -45 0.1 1.0 0.1 1.0 0.0 1.0 -21 -34 0.1 1.0 0.0 4.0 0.0 1.0 -7 4 0.1 0.0 0.0 2.0 0.0 1.0 1
8 -11 0.0 0.0 0.1 3.0 0.0 0.0 -14 -38 0.0 1.0 0.0 2.0 0.0 0.0 -7 4 0.1 0.0 0.0 2.0 0.0 1.0 16 34 0.1 2.0 0.0 0.0 0.0 1.0 3 -11 0.0 1.0 0.1 1.0 0.0 0.0 -5 0 0.0 1.0 0.0 4.0 0.0 0.0 9 38 0.0 2.0 0.0 2.0 0.0 0.0 16 34 0.1 2.0 0.0 0.0 0.0 1.0 1
-14 -38 0.0 1.0 0.0 2.0 0.0 0.0 -7 4 0.1 0.0 0.0 2.0 0.0 1.0 16 34 0.1 2.0 0.0 0.0 0.0 1.0 -17 17 0.0 0.0 0.0 1.0 0.0 0.0 -22 17 0.0 1.0 0.0 5.0 0.0 0.0 -8 55 0.0 2.0 0.0 3.0 0.0 0.0 -1 51 0.1 2.0 0.0 1.0 0.0 1.0 -17 17 0.0 0.0 0.0 1.0 0.0 0.0 1
-7 4 0.1 0.0 0.0 2.0 0.0 1.0 16 34 0.1 2.0 0.0 0.0 0.0 1.0 -17 17 0.0 0.0 0.0 1.0 0.0 0.0 -26 10 0.1 1.0 0.0 0.0 0.0 0.0 -34 65 0.1 1.0 0.0 3.0 0.0 0.0 -27 61 0.0 1.0 0.0 1.0 0.0 1.0 -43 27 0.1 1.0 0.0 1.0 0.0 0.0 -26 10 0.1 1.0 0.0 0.0 0.0 0.0 1
4 2 0.0 0.0 0.0 0.0 0.0 0.0 13 16 0.0 0.0 0.1 0.0 0.1 0.0 22 2 0.0 1.0 0.1 0.0 0.1 1.0 18 0 0.0 1.0 0.1 0.0 0.1 0.0 57 20 0.0 0.0 0.1 0.0 0.1 1.0 53 18 0.0 0.0 0.1 0.0 0.1 1.0 40 2 0.0 0.0 0.0 0.0 0.0 1.0 18 0 0.0 1.0 0.1 0.0 0.1 0.0 0
13 16 0.0 0.0 0.1 0.0 0.1 0.0 22 2 0.0 1.0 0.1 0.0 0.1 1.0 18 0 0.0 1.0 0.1 0.0 0.1 0.0 3 2 0.0 1.0 0.0 0.0 0.0 1.0 56 20 0.0 1.0 0.1 0.0 0.1 2.0 43 4 0.0 1.0 0.0 0.0 0.0 2.0 21 2 0.0 0.0 0.1 0.0 0.1 1.0 3 2 0.0 1.0 0.0 0.0 0.0 1.0 0
22 2 0.0 1.0 0.1 0.0 0.1 1.0 18 0 0.0 1.0 0.1 0.0 0.1 0.0 3 2 0.0 1.0 0.0 0.0 0.0 1.0 3 7 0.0 0.0 0.0 0.0 0.0 1.0 46 11 0.0 1.0 0.0 0.0 0.0 1.0 24 9 0.0 0.0 0.1 0.0 0.1 0.0 6 9 0.0 1.0 0.0 0.0 0.0 0.0 3 7 0.0 0.0 0.0 0.0 0.0 1.0 0
18 0 0.0 1.0 0.1 0.0 0.1 0.0 3 2 0.0 1.0 0.0 0.0 0.0 1.0 3 7 0.0 0.0 0.0 0.0 0.0 1.0 3 -3 0.0 1.0 0.0 0.0 0.0 1.0 27 6 0.0 1.0 0.1 0.0 0.1 1.0 9 6 0.0 2.0 0.0 0.0 0.0 1.0 6 4 0.0 1.0 0.0 0.0 0.0 2.0 3 -3 0.0 1.0 0.0 0.0 0.0 1.0 0
3 2 0.0 1.0 0.0 0.0 0.0 1.0 3 7 0.0 0.0 0.0 0.0 0.0 1.0 3 -3 0.0 1.0 0.0 0.0 0.0 1.0 1 1 0.0 1.0 0.0 0.0 0.0 0.0 10 7 0.0 1.0 0.0 0.0 0.0 1.0 7 5 0.0 0.0 0.0 0.0 0.0 2.0 4 -2 0.0 0.0 0.0 0.0 0.0 1.0 1 1 0.0 1.0 0.0 0.0 0.0 0.0 0
